Date, Race, Poll, Results, Votes, Spread
Thursday April 26,President Trump Job Approval,Harvard-Harris,Approve,44,Disapprove +12
Thursday April 26,President Trump Job Approval,Harvard-Harris,Disapprove,56,Disapprove +12
Thursday April 26,President Trump Job Approval,Rasmussen Reports,Approve,47,Disapprove +5
Thursday April 26,President Trump Job Approval,Rasmussen Reports,Disapprove,52,Disapprove +5
Thursday April 26,2018 Generic Congressional Vote,Harvard-Harris,Democrats,43,Democrats +9
Thursday April 26,2018 Generic Congressional Vote,Harvard-Harris,Republicans,34,Democrats +9
Thursday April 26,Direction of Country,Harvard-Harris,Right,Direction,35,Wrong Track +18
Thursday April 26,Direction of Country,Harvard-Harris,Wrong,Track,53,Wrong Track +18
Wednesday April 25,Tennessee Senate - Blackburn vs. Bredesen,Mason-Dixon,Bredesen,46,Bredesen +3
Wednesday April 25,Tennessee Senate - Blackburn vs. Bredesen,Mason-Dixon,Blackburn,43,Bredesen +3
Wednesday April 25,Nevada Senate - Heller vs. Rosen,Nevada Independent/Mellman,Heller,40,Heller +1
Wednesday April 25,Nevada Senate - Heller vs. Rosen,Nevada Independent/Mellman,Rosen,39,Heller +1
Wednesday April 25,Nevada Governor - Laxalt vs. Sisolak,Nevada Independent/Mellman,Sisolak,43,Sisolak +6
Wednesday April 25,Nevada Governor - Laxalt vs. Sisolak,Nevada Independent/Mellman,Laxalt,37,Sisolak +6
Wednesday April 25,President Trump Job Approval,FOX News,Approve,44,Disapprove +9
Wednesday April 25,President Trump Job Approval,FOX News,Disapprove,53,Disapprove +9
Wednesday April 25,President Trump Job Approval,Quinnipiac,Approve,39,Disapprove +15
Wednesday April 25,President Trump Job Approval,Quinnipiac,Disapprove,54,Disapprove +15
Wednesday April 25,President Trump Job Approval,Reuters/Ipsos,Approve,41,Disapprove +14
Wednesday April 25,President Trump Job Approval,Reuters/Ipsos,Disapprove,55,Disapprove +14
Wednesday April 25,President Trump Job Approval,Economist/YouGov,Approve,43,Disapprove +10
Wednesday April 25,President Trump Job Approval,Economist/YouGov,Disapprove,53,Disapprove +10
Wednesday April 25,2018 Generic Congressional Vote,Economist/YouGov,Democrats,43,Democrats +5
Wednesday April 25,2018 Generic Congressional Vote,Economist/YouGov,Republicans,38,Democrats +5
Wednesday April 25,2018 Generic Congressional Vote,Quinnipiac,Democrats,48,Democrats +8
Wednesday April 25,2018 Generic Congressional Vote,Quinnipiac,Republicans,40,Democrats +8
Wednesday April 25,2018 Generic Congressional Vote,Reuters/Ipsos,Democrats,45,Democrats +11
Wednesday April 25,2018 Generic Congressional Vote,Reuters/Ipsos,Republicans,34,Democrats +11
Wednesday April 25,Congressional Job Approval,Reuters/Ipsos,Approve,27,Disapprove +40
Wednesday April 25,Congressional Job Approval,Reuters/Ipsos,Disapprove,67,Disapprove +40
Wednesday April 25,Congressional Job Approval,FOX News,Approve,19,Disapprove +51
Wednesday April 25,Congressional Job Approval,FOX News,Disapprove,70,Disapprove +51
Wednesday April 25,Congressional Job Approval,Economist/YouGov,Approve,10,Disapprove +58
Wednesday April 25,Congressional Job Approval,Economist/YouGov,Disapprove,68,Disapprove +58
Wednesday April 25,Direction of Country,Economist/YouGov,Right,Direction,36,Wrong Track +18
